"plant_id","usda_id","scientific_name","display_name","form","popularity_rating","price_rating","color_red","color_orange","color_yellow","color_green","color_blue","color_purple","color_pink","color_brown","color_white","bloom_start","bloom_end","height_min","height_max","flood_tolerant","drought_tolerant","road_salt_tolerant","sun_full","sun_partial","sun_shade","moisture_wet","moisture_med","moisture_dry","space_min","space_max","soil_pref","soil_ph","benefits_pollinators","benefits_butterflies","benefits_hummingbirds","benefits_birds","deer_resistant","warnings","pos_base","pos_slope","pos_margin","image","description"
"2","ACAM","Acorus americanus","Sweet Flag","Forb",2,2,False,False,True,True,False,False,False,False,False,4,7,"24","36",False,False,False,True,False,False,True,False,False,"12","24",NULL,NULL,False,False,False,False,False,NULL,True,False,False,"https://upload.wikimedia.org/wikipedia/commons/2/2e/Acorus_calamus1_%285097239953%29.jpg","Acorus americanus, the American sweet flag, is an emergent wetland plant native to the northern United States and Canada. This perennial plant has bright green blade-shaped leaves that arise directly from the rhizomes and sheath into each other at the base."
"3","ACRA7","Actaea racemosa","Black Cohosh","Forb",1,2,False,False,False,False,False,False,False,False,True,6,9,"24","84",True,False,False,False,True,True,False,True,False,"24","36",NULL,"Acidic, Alkaline",True,True,False,True,True,NULL,False,True,False,"https://tyt.lt/_data/i/upload/2018/12/14/20181214191910-4eae100c-me.jpg","Actaea racemosa, the black cohosh, black bugbane, black snakeroot, rattle-top, or fairy candle, is a species of flowering plant of the family Ranunculaceae. It is native to eastern North America from the extreme south of Ontario to central Georgia, and west to Missouri and Arkansas."
"4","ADPE","Adiantum pedatum","Northern Maidenhair Fern","Fern",2,2,False,False,False,True,False,False,False,False,False,NULL,NULL,"12","30",False,False,False,False,True,True,False,True,False,"10","18",NULL,"Acidic",False,False,False,False,True,NULL,True,False,False,"https://upload.wikimedia.org/wikipedia/commons/1/12/Adiantum_pedatum_09905.JPG","Adiantum pedatum, the northern maidenhair fern, is a species of fern in the family Pteridaceae, native to moist forests in eastern North America. Like other ferns in the genus, the name maidenhair refers to the slender, shining black stipes."
"5","ALCE2","Allium cernuum","Nodding Onion","Forb",1,1,False,False,False,False,False,False,True,False,True,7,8,"12","24",False,True,True,True,True,False,False,True,False,"4","8",NULL,"Neutral, Alkaline",True,True,True,False,True,"Toxic in large quantities",False,True,True,"https://bs.plantnet.org/image/o/def08377c1c57ddf70fd5246325eb0e570fe5fc3","Allium cernuum, known as nodding onion or lady's leek, is a perennial plant in the genus Allium. It grows in open areas in North America."
"6","AMCA6","Amorpha canescens","Leadplant","Shrub",1,2,False,False,False,False,True,True,False,False,False,6,8,"24","36",False,True,True,True,True,False,False,True,True,"12","24","Sandy, Rocky",NULL,True,True,False,True,True,NULL,False,True,True,"https://upload.wikimedia.org/wikipedia/commons/a/a0/Amorpha_canescens_kz1.jpg","Amorpha canescens, known as leadplant, downy indigo bush, prairie shoestring, or buffalo bellows, is a small, perennial semi-shrub in the pea family, native to North America. It has very small purple flowers with yellow stamens which are grouped in racemes."
"7","AMFR","Amorpha fruticosa","False Indigo Bush","Shrub",1,3,False,False,False,False,True,True,False,False,False,6,8,"72","144",True,True,True,True,True,False,False,True,True,"48","72","Sandy, Sandy Loam, Loam, Clay Loam, Clay","Acidic, Alkaline",True,True,False,True,True,"Slight toxicity",True,True,True,"https://upload.wikimedia.org/wikipedia/commons/3/38/Amorpha_fruticosa_Muromets1.JPG","Amorpha fruticosa is a species of flowering plant in the legume family Fabaceae, known by several common names, including desert false indigo, false indigo-bush, and bastard indigobush. It is native to North America."
"8","ANCA8","Anemone canadensis","Canada Anemone","Forb",1,2,False,False,False,False,False,False,False,False,True,4,6,"12","24",True,True,True,True,True,False,False,True,False,"12","30","Sandy","Alkaline",True,False,False,False,True,"Contact irritation, Toxic in large quantities",False,True,True,"https://upload.wikimedia.org/wikipedia/commons/7/71/Anemone_canadensis_kz04.jpg","Anemonastrum canadense, synonym Anemone canadensis, the Canada anemone, round-headed anemone, round-leaf thimbleweed, meadow anemone, windflower, or crowfoot, is a herbaceous perennial flowering plant in the family Ranunculaceae."
"9","ANGE","Andropogon gerardii","Big Bluestem","Grass",2,1,False,False,False,True,True,False,False,False,False,7,9,"48","108",False,True,False,True,True,False,False,True,True,"24","36","Loam, Clay","Acidic",True,True,False,True,True,NULL,False,True,False,"https://upload.wikimedia.org/wikipedia/commons/1/16/Andropogon_gerardii_-_big_bluestem_-_48666472461.jpg","Andropogon gerardi, commonly known as big bluestem, is a species of tall grass native to much of the Great Plains and grassland regions of central and eastern North America. It is also known as tall bluestem, bluejoint, and turkeyfoot."
"10","AQCA","Aquilegia canadensis","Red Columbine","Forb",5,3,True,False,True,False,False,False,False,False,False,4,6,"12","36",False,True,True,True,True,True,False,True,True,"10","18","Rocky, Sandy, Sandy Loam, Loam","Alkaline",True,True,True,True,True,NULL,False,True,True,"https://upload.wikimedia.org/wikipedia/commons/9/93/Wild_Columbine.jpg","Aquilegia canadensis, the Canadian columbine, Canada columbine, eastern red columbine, or wild columbine, is a species of flowering plant in the buttercup family. It is a perennial plant that is native to the woodlands and rocky areas in eastern North America in both the United States and southern Canada."
"11","ARAT","Arnoglossum atriplicifolium","Pale Indian Plantain","Forb",1,3,False,False,False,False,False,False,False,False,True,7,9,"36","60",False,False,False,True,True,False,False,True,False,"36","48",NULL,"Alkaline",True,False,False,True,True,NULL,False,True,False,"https://upload.wikimedia.org/wikipedia/commons/e/ef/Arnoglossum_atriplicifolium5.jpg","Arnoglossum atriplicifolium, the pale Indian plantain, is a perennial herbaceous wildflower in the sunflower family. native to the central and eastern United States. It can reach heights of up to 3 metres, with dramatic clusters of white flowers at the top of a central, unbranching stalk."
